DEVICE_IP;DEVICE_ID;OBJECT_TYPE;OBJECT_ID;OBJECT_NAME;PRESENT_VALUE
10.168.253.127;109;analogValue;1667;XLWeb_RZV_09_Fake_1;0
10.168.253.127;109;analogValue;1668;XLWeb_RZV_09_Fake_0;0
10.168.253.127;109;analogValue;1669;XLWeb_RZV_09_Fake_OAT;0
10.168.253.127;109;analogInput;104;RZV_C34_TE6;0
10.168.253.127;109;binaryInput;1021;RZV_C34_FE_A;0
10.168.253.127;109;binaryInput;1022;RZV_C34_FE_S;0
10.168.253.127;109;binaryInput;1023;RZV_C34_PowerCmd_FE;0
10.168.253.127;109;binaryInput;1024;RZV_C34_Y6_SC;0
10.168.253.127;109;binaryInput;1025;RZV_C34_Y6_SO;0
10.168.253.127;109;binaryInput;1026;RZV_C34_DPS6;0
10.168.253.127;109;binaryOutput;201;RZV_C34_FE_C_Physical;0
10.168.253.127;109;binaryOutput;202;RZV_C34_Y6_C_Physical;0
10.168.253.127;109;analogValue;1403;RZV_C34_FE_RT;0
10.168.253.127;109;analogValue;1404;RZV_C34_FE_RT_Offset;0
10.168.253.127;109;analogValue;1405;RZV_C34_Synchro;0
10.168.253.127;109;binaryValue;2871;RZV_C34_FE_C_Feedback;0
10.168.253.127;109;binaryValue;2872;RZV_C34_FE_C_Algorithm_Received;0
10.168.253.127;109;binaryValue;2873;RZV_C34_FE_C_Overridden;0
10.168.253.127;109;binaryValue;2874;RZV_C34_Y6_C_Algorithm_Received;0
10.168.253.127;109;binaryValue;2875;RZV_C34_Y6_C_Feedback;0
10.168.253.127;109;binaryValue;2876;RZV_C34_Y6_C_Overridden;0
10.168.253.127;109;binaryInput;1054;RZV_FD_C34_51_SC;0
